0.667,0
0.667,1
1.212,0
1.758,1
3.394,1
3.940,0
4.485,0
5.031,1
6.667,1
7.212,0
7.758,0
8.303,1
9.394,1
9.940,1
10.485,0
11.031,0
11.576,1
13.212,1
13.758,1
14.303,0
14.849,1
16.485,1
17.031,0
17.576,0
18.122,1
19.758,1
20.303,0
20.849,0
21.394,1
22.485,1
23.031,1
23.576,0
24.122,0
24.667,0
25.758,1
26.849,0
27.394,0
27.940,1
29.576,1
30.122,0
30.667,0
31.212,1
32.849,1
33.394,0
33.940,0
34.485,1
35.576,1
36.122,1
36.667,0
37.212,0
37.758,1
39.394,1
39.940,1
40.485,0
41.031,1
42.667,1
43.212,0
43.758,0
44.303,1
45.940,1
46.485,0
47.031,0
47.576,1
48.667,1
49.212,1
50.775,0
51.919,0
51.919,1
